iter	Logloss
0	0.6839701547
1	0.6750643227
2	0.6662459482
3	0.6573971543
4	0.65094189
5	0.6441701074
6	0.6369167476
7	0.6298412925
8	0.6242247965
9	0.6199543432
10	0.6150910387
11	0.6103950413
12	0.6052111232
13	0.6013584513
14	0.5974448339
15	0.5941490817
16	0.5908196239
17	0.5867784702
18	0.583558655
19	0.5808181742
20	0.5773149483
21	0.5745409259
22	0.5719375634
23	0.5695519164
24	0.5666670332
25	0.5642379307
26	0.5615294717
27	0.5593487176
28	0.5574984886
29	0.5558916908
30	0.5540014535
31	0.5519814534
32	0.5507030316
33	0.5489256993
34	0.5470720061
35	0.5453038918
36	0.5439776845
37	0.5424668154
38	0.5407436901
39	0.5394298087
40	0.5377765236
41	0.5366701704
42	0.5354945485
43	0.5340929949
44	0.5328809895
45	0.5327259637
46	0.5312523207
47	0.5302529214
48	0.5288455528
49	0.5280779796
50	0.5272407678
51	0.5257712344
52	0.5247211457
53	0.5229382879
54	0.5218323521
55	0.520348695
56	0.5189607312
57	0.5186199037
58	0.5179080351
59	0.5172020324
60	0.5165927247
61	0.5156079182
62	0.5141918924
63	0.5137017739
64	0.5120035228
65	0.5114334166
66	0.5111731124
67	0.5096611416
68	0.5091575008
69	0.5082161072
70	0.5066175213
71	0.5055735136
72	0.5044869189
73	0.503336365
74	0.5023170007
75	0.5021575982
76	0.5013541553
77	0.5005184619
78	0.4995662603
79	0.4988964667
80	0.4975399468
81	0.4967721503
82	0.4956777997
83	0.4947622397
84	0.4941694814
85	0.493633239
86	0.4927677552
87	0.4921410016
88	0.4914042136
89	0.4901071483
90	0.4892560882
91	0.4883956203
92	0.4878437447
93	0.4873700657
94	0.4871983
95	0.4863277905
96	0.4856005766
97	0.4849939999
98	0.4848568915
99	0.4842841318
100	0.4841261484
101	0.4831001938
102	0.4819351478
103	0.480521621
104	0.479445946
105	0.4787119628
106	0.4781630047
107	0.4769940555
108	0.4764232713
109	0.4758934838
110	0.4748542431
111	0.4743124261
112	0.4733998503
113	0.4723869581
114	0.4716535628
115	0.4709217057
116	0.4702671007
117	0.4696081386
118	0.468863864
119	0.4678683386
120	0.4669830135
121	0.4664555871
122	0.4650825818
123	0.4645344822
124	0.4636922402
125	0.4636680234
126	0.4628360629
127	0.4623799378
128	0.461586149
129	0.4609293116
130	0.4602933844
131	0.4596574444
132	0.4588674309
133	0.4577903219
134	0.4575404575
135	0.4564840214
136	0.4561443231
137	0.4555649778
138	0.4548271766
139	0.4542504382
140	0.4538880329
141	0.4532301956
142	0.4520409816
143	0.451234426
144	0.4509153479
145	0.4504989572
146	0.4501519649
147	0.4492462179
148	0.4488846998
149	0.4481914383
150	0.4477347321
151	0.4471972531
152	0.4460025461
153	0.4457453982
154	0.4451955666
155	0.4447514506
156	0.4440486
157	0.4428671499
158	0.4420782383
159	0.4413913079
160	0.4402460737
161	0.4399367868
162	0.4385610895
163	0.4375934191
164	0.4371914026
165	0.4366191192
166	0.4351958715
167	0.4347971872
168	0.4343626291
169	0.4332061234
170	0.4325215401
171	0.4321192228
172	0.4316199173
173	0.4308916226
174	0.4299667351
175	0.4294938334
176	0.4291042167
177	0.428553084
178	0.4278075938
179	0.4270216139
180	0.4262698467
181	0.4253790949
182	0.4250829638
183	0.424483005
184	0.4230309146
185	0.4221313848
186	0.4219511428
187	0.4211144323
188	0.4205176073
189	0.420231127
190	0.4202185826
191	0.4197558701
192	0.4190960041
193	0.4185606839
194	0.4181840899
195	0.4176090285
196	0.4170180742
197	0.4162595657
198	0.415738849
199	0.4151507464
200	0.4147057791
201	0.4141357672
202	0.4134760232
203	0.41316243
204	0.4128836921
205	0.4123677473
206	0.4120545477
207	0.4115058895
208	0.4111543753
209	0.4107390402
210	0.4103330192
211	0.4098922519
212	0.4097738785
213	0.4097650031
214	0.409330178
215	0.4081914423
216	0.4079472771
217	0.4069457892
218	0.4067794719
219	0.4062835436
220	0.4054259507
221	0.4048956941
222	0.4042690626
223	0.4031629205
224	0.4023813917
225	0.4019044482
226	0.4013583823
227	0.4009279659
228	0.4007150863
229	0.4006076737
230	0.3999397394
231	0.3997352402
232	0.3994554564
233	0.3984459593
234	0.3982447354
235	0.3965774528
236	0.396447899
237	0.3958969875
238	0.3945877124
239	0.3934639363
240	0.3926180211
241	0.3915460205
242	0.3905009518
243	0.3901135196
244	0.390086015
245	0.3894578046
246	0.3889954422
247	0.3879581785
248	0.3873845668
249	0.3873392072
250	0.3870362543
251	0.3864531468
252	0.385790909
