iter	Passed	Remaining
179	376	1507
180	378	1505
181	381	1506
182	383	1504
183	386	1502
184	388	1501
185	391	1501
186	392	1498
187	395	1496
188	397	1494
189	399	1491
190	400	1485
191	402	1484
192	405	1483
193	407	1482
194	409	1479
195	411	1477
196	413	1475
197	415	1474
198	417	1471
199	419	1469
200	422	1468
201	424	1465
202	426	1464
203	428	1462
204	430	1459
205	432	1455
206	434	1453
207	435	1449
208	437	1446
209	439	1445
210	441	1442
211	444	1441
212	446	1441
213	447	1436
214	450	1435
215	453	1435
216	455	1434
217	457	1430
218	459	1429
219	462	1428
220	464	1426
221	466	1424
222	468	1422
223	470	1419
224	473	1419
225	475	1419
226	477	1416
227	479	1413
228	482	1413
229	484	1410
230	486	1407
231	488	1405
232	489	1402
233	491	1400
234	494	1399
235	496	1396
236	498	1393
237	500	1392
238	502	1389
239	504	1387
240	507	1386
241	509	1385
242	511	1382
243	513	1380
244	515	1377
245	517	1375
246	519	1373
247	522	1374
248	524	1372
249	527	1370
250	529	1367
251	531	1365
252	533	1364
253	535	1361
254	537	1360
255	540	1359
256	542	1357
257	544	1354
258	546	1353
259	548	1350
260	550	1347
261	552	1345
262	554	1343
263	556	1340
264	558	1338
265	560	1335
266	562	1333
267	564	1331
268	566	1329
269	568	1326
270	570	1324
271	572	1322
272	575	1321
273	577	1319
274	579	1316
275	581	1314
276	583	1312
277	585	1310
278	587	1307
279	589	1304
280	591	1301
281	593	1301
282	596	1300
283	598	1298
284	600	1295
285	602	1293
286	605	1292
287	607	1290
288	609	1289
289	612	1287
290	613	1284
291	616	1283
292	618	1282
293	620	1279
294	622	1277
295	624	1274
296	626	1271
297	628	1269
298	630	1267
299	632	1265
300	634	1262
301	636	1260
302	638	1258
303	641	1257
304	643	1254
305	644	1251
306	647	1250
307	649	1247
308	651	1245
309	653	1243
310	655	1241
311	657	1238
312	659	1236
313	660	1233
314	663	1231
315	665	1229
316	666	1226
317	668	1223
318	670	1221
319	673	1221
320	676	1220
321	678	1218
322	680	1216
323	682	1213
324	684	1211
325	686	1209
326	688	1207
327	691	1206
328	693	1204
329	695	1201
330	697	1199
331	699	1197
332	701	1194
333	703	1192
334	705	1190
335	709	1191
336	712	1190
337	714	1188
338	717	1187
339	719	1185
340	722	1184
341	724	1181
342	726	1180
343	728	1177
344	730	1175
345	733	1174
346	735	1171
347	737	1169
348	740	1168
349	742	1167
350	745	1165
351	747	1163
352	749	1162
353	751	1159
354	754	1158
355	756	1155
356	758	1153
357	760	1151
358	763	1150
359	765	1148
360	767	1146
361	769	1143
362	771	1141
363	774	1140
364	777	1139
365	779	1137
366	782	1136
367	784	1134
368	786	1131
369	789	1130
370	790	1127
371	792	1124
372	794	1122
373	796	1119
374	798	1118
375	801	1116
376	803	1114
377	805	1111
378	808	1111
379	810	1108
380	811	1106
381	814	1104
382	816	1102
383	818	1099
384	820	1098
385	823	1096
386	825	1093
387	827	1091
388	829	1089
389	831	1087
390	833	1085
391	835	1082
392	837	1080
393	839	1078
394	842	1076
395	844	1074
396	846	1072
397	849	1071
398	851	1069
399	854	1068
400	856	1065
401	858	1063
402	861	1061
403	863	1059
404	864	1056
405	867	1055
406	868	1052
407	870	1049
408	872	1047
409	874	1045
410	878	1045
411	881	1043
412	882	1041
413	884	1038
414	887	1036
415	889	1034
416	891	1032
417	893	1030
418	895	1028
419	897	1025
420	900	1024
421	902	1022
422	904	1019
423	906	1017
424	909	1016
425	911	1014
426	914	1012
427	915	1009
428	918	1008
429	920	1006
430	922	1004
431	924	1002
432	927	1000
433	929	997
434	931	995
435	933	993
436	935	991
437	937	989
438	939	986
439	941	984
440	944	983
441	947	981
442	949	979
443	951	977
444	955	976
445	957	974
446	959	972
447	961	970
448	963	967
449	965	965
450	967	963
451	970	961
452	972	959
453	974	957
454	977	955
455	980	954
456	983	953
457	985	951
458	987	948
459	990	947
460	992	945
461	994	943
462	997	941
463	1000	940
464	1002	937
465	1004	935
466	1006	932
467	1008	930
468	1011	929
469	1013	927
470	1015	924
471	1018	923
472	1020	921
473	1024	920
474	1026	918
475	1028	916
476	1030	914
477	1033	912
478	1034	909
479	1036	907
480	1039	905
481	1040	902
482	1042	900
483	1045	898
484	1048	896
485	1049	894
486	1052	892
487	1054	890
488	1056	888
489	1058	886
490	1060	883
491	1062	881
492	1065	879
493	1066	876
494	1068	874
495	1070	872
496	1073	870
497	1074	867
498	1078	866
499	1080	864
500	1082	861
501	1086	861
502	1088	858
503	1089	856
504	1093	855
505	1094	852
506	1096	850
507	1099	848
508	1101	846
509	1103	843
510	1105	841
511	1107	839
512	1109	837
513	1113	835
514	1115	833
515	1117	831
516	1119	829
517	1122	827
518	1123	825
519	1125	822
520	1127	820
521	1129	818
522	1131	815
523	1133	813
524	1135	811
525	1138	809
526	1139	806
527	1141	804
528	1143	802
529	1145	799
530	1148	797
531	1151	796
532	1153	793
533	1155	791
534	1156	789
535	1158	786
536	1160	784
537	1162	782
538	1164	780
539	1166	777
540	1169	775
541	1171	773
542	1173	771
543	1175	769
544	1177	766
545	1179	764
546	1182	763
547	1184	760
548	1186	758
549	1188	756
550	1190	754
551	1192	751
552	1194	749
553	1196	747
554	1198	745
555	1200	742
556	1202	740
557	1204	738
558	1207	736
559	1209	734
560	1211	731
561	1213	729
562	1215	727
563	1218	725
564	1220	723
565	1223	722
566	1225	719
567	1227	717
568	1229	715
569	1231	713
570	1233	710
571	1236	708
572	1238	706
573	1241	704
574	1242	702
575	1245	700
576	1247	698
577	1249	696
578	1251	693
579	1253	691
580	1255	689
581	1257	687
582	1259	685
583	1261	682
584	1264	680
585	1265	678
586	1267	676
587	1270	674
588	1273	672
589	1275	670
590	1277	667
591	1279	665
592	1281	663
593	1282	660
594	1286	659
595	1288	657
596	1289	654
597	1292	652
598	1293	650
599	1295	647
600	1298	645
601	1300	643
602	1301	641
603	1303	639
604	1305	636
605	1307	634
606	1309	632
607	1311	630
608	1313	627
609	1316	625
610	1318	623
611	1320	621
612	1322	619
613	1324	617
614	1327	614
615	1329	612
616	1331	610
617	1332	608
618	1335	606
619	1337	603
620	1339	601
621	1342	599
622	1343	597
623	1345	595
624	1348	593
625	1350	591
626	1352	589
627	1355	587
628	1357	584
629	1359	582
630	1361	580
631	1363	578
632	1365	575
633	1367	573
634	1369	571
635	1372	569
636	1375	567
637	1376	565
638	1378	563
639	1380	560
640	1382	558
641	1384	556
642	1387	554
643	1388	552
644	1392	550
645	1394	548
646	1395	545
647	1398	543
648	1400	541
649	1401	539
650	1403	536
651	1406	535
652	1409	533
653	1411	531
654	1413	528
655	1415	526
656	1418	524
657	1419	522
658	1421	519
659	1423	517
660	1426	515
661	1428	513
662	1430	511
663	1433	509
664	1434	507
665	1436	504
666	1440	503
667	1442	500
668	1444	498
669	1447	496
670	1449	494
671	1451	492
672	1453	490
673	1455	488
674	1457	485
675	1459	483
676	1461	481
677	1463	479
678	1466	477
679	1467	474
680	1469	472
681	1472	470
682	1474	468
683	1477	466
684	1479	464
685	1481	462
686	1483	459
687	1485	457
688	1487	455
689	1489	453
690	1492	451
691	1494	449
692	1496	447
693	1499	445
694	1501	442
695	1503	440
696	1507	438
697	1509	436
698	1511	434
699	1513	432
700	1515	430
701	1517	428
702	1519	425
703	1521	423
704	1523	421
705	1525	419
706	1526	416
707	1528	414
708	1531	412
709	1532	410
710	1534	408
711	1537	405
712	1539	403
713	1542	401
714	1545	399
715	1546	397
716	1548	395
717	1551	393
718	1553	390
719	1555	388
720	1557	386
721	1559	384
722	1561	382
723	1563	380
724	1565	377
725	1567	375
726	1569	373
727	1571	371
728	1574	369
729	1577	367
730	1578	365
731	1580	362
732	1583	360
733	1585	358
734	1587	356
735	1589	354
736	1591	351
737	1593	349
738	1595	347
739	1597	345
740	1598	343
741	1600	340
742	1602	338
743	1605	336
744	1607	334
745	1609	332
746	1611	330
747	1614	327
748	1615	325
749	1617	323
750	1619	321
751	1621	319
752	1623	316
753	1625	314
754	1627	312
755	1629	310
756	1631	308
757	1633	305
758	1635	303
759	1637	301
760	1639	299
761	1643	297
762	1646	295
763	1648	293
764	1651	291
765	1654	289
766	1657	287
767	1660	285
768	1663	283
769	1666	281
770	1668	279
771	1671	277
772	1674	275
773	1677	273
774	1680	271
775	1683	268
776	1686	266
777	1688	264
778	1691	262
779	1693	260
780	1696	258
781	1698	256
782	1701	254
783	1703	252
784	1706	250
785	1710	248
786	1713	245
787	1715	243
788	1717	241
789	1720	239
790	1723	237
791	1725	235
792	1728	233
793	1730	231
794	1733	228
795	1735	226
796	1737	224
797	1740	222
798	1743	220
799	1745	218
800	1748	216
801	1751	214
802	1754	211
803	1756	209
804	1759	207
805	1761	205
806	1763	203
807	1767	201
808	1769	199
809	1771	196
810	1775	194
811	1777	192
812	1780	190
813	1783	188
814	1785	186
815	1787	184
816	1790	181
817	1792	179
818	1794	177
819	1797	175
820	1799	173
821	1802	170
822	1804	168
823	1807	166
824	1809	164
825	1814	162
826	1816	160
827	1819	158
828	1822	156
829	1825	153
830	1828	151
831	1830	149
832	1833	147
833	1835	145
834	1838	143
835	1842	141
836	1845	138
837	1848	136
838	1851	134
839	1853	132
840	1856	130
841	1858	128
842	1861	125
843	1864	123
844	1866	121
845	1868	119
846	1871	117
847	1873	114
848	1876	112
849	1879	110
850	1882	108
851	1884	106
852	1886	103
853	1888	101
854	1890	99
855	1892	97
856	1894	95
857	1896	92
858	1898	90
859	1899	88
860	1901	86
861	1903	83
862	1906	81
863	1908	79
864	1911	77
865	1913	75
866	1915	72
867	1917	70
868	1919	68
869	1921	66
870	1924	64
871	1926	61
872	1928	59
873	1931	57
874	1932	55
875	1934	53
876	1938	50
877	1940	48
878	1942	46
879	1944	44
880	1946	41
881	1948	39
882	1950	37
883	1952	35
884	1954	33
885	1957	30
886	1959	28
887	1962	26
888	1965	24
889	1967	22
890	1968	19
891	1971	17
892	1973	15
893	1975	13
894	1978	11
895	1980	8
896	1982	6
897	1984	4
898	1986	2
899	1989	0
