fixture_id,match_date,league,market,outcome,odds,ev,won,profit
1378982,2025-08-23 14:00:00,Premier League,1X2,Draw,3.232,-0.1131288673933333,0,-1.0
1378981,2025-08-23 14:00:00,Premier League,1X2,Draw,3.5520000000000005,-0.0267254522489179,0,-1.0
1378984,2025-08-24 13:00:00,Premier League,1X2,Draw,3.338,-0.0553671564833399,0,-1.0
1378987,2025-08-25 19:00:00,Premier League,1X2,Draw,3.8,-0.0545220742498359,0,-1.0
1378992,2025-08-30 16:30:00,Premier League,1X2,Draw,3.4619999999999997,-0.0528373102095904,1,2.4619999999999997
1379004,2025-09-13 14:00:00,Premier League,1X2,Draw,3.25,-0.0965971535250327,1,2.25
1379006,2025-09-14 15:30:00,Premier League,1X2,Draw,4.040000000000001,-0.1066052365655026,0,-1.0
1379012,2025-09-20 14:00:00,Premier League,1X2,Draw,3.436,0.0064130296138014,1,2.436
1379017,2025-09-20 14:00:00,Premier League,1X2,Draw,3.412,-0.0654732692595796,0,-1.0
1379015,2025-09-20 16:30:00,Premier League,1X2,Draw,3.608,-0.0380058475600103,0,-1.0
1379016,2025-09-21 13:00:00,Premier League,1X2,Draw,3.486,-0.0208744744098478,1,2.486
1379024,2025-09-27 14:00:00,Premier League,1X2,Draw,3.396,-0.0837832276801706,1,2.396
1379028,2025-09-27 19:00:00,Premier League,1X2,Draw,4.418000000000001,-0.101219172261425,1,3.418000000000001
1379026,2025-09-28 15:30:00,Premier League,1X2,Draw,3.5499999999999994,-0.0717328418511641,0,-1.0
1379035,2025-10-04 11:30:00,Premier League,1X2,Draw,3.67,-0.0254451182119095,0,-1.0
1379033,2025-10-04 16:30:00,Premier League,1X2,Draw,3.684,-0.0368025504419846,0,-1.0
1379038,2025-10-05 13:00:00,Premier League,1X2,Draw,3.640000000000001,0.0032314637476045,1,2.640000000000001
1379037,2025-10-05 13:00:00,Premier League,1X2,Draw,4.0600000000000005,-0.0610805314392352,0,-1.0
1379045,2025-10-18 11:30:00,Premier League,1X2,Draw,3.674,-0.0262929371401301,0,-1.0
1379047,2025-10-19 13:00:00,Premier League,1X2,Draw,3.554,-0.1203016701771483,0,-1.0
1379048,2025-10-20 19:00:00,Premier League,1X2,Draw,3.5700000000000003,-0.1053203657955683,0,-1.0
1379067,2025-11-01 17:30:00,Premier League,1X2,Draw,3.692,-0.0839118894671162,0,-1.0
1379063,2025-11-01 20:00:00,Premier League,1X2,Draw,4.6,-0.1280833138723438,0,-1.0
1379068,2025-11-02 14:00:00,Premier League,1X2,Draw,4.016,-0.0071617464145015,0,-1.0
1379076,2025-11-08 17:30:00,Premier League,1X2,Draw,4.6659999999999995,0.0232504102467894,1,3.665999999999999
1379082,2025-11-22 12:30:00,Premier League,1X2,Draw,4.1,-0.0852731424378148,0,-1.0
1379088,2025-11-22 15:00:00,Premier League,1X2,Draw,3.514,-0.1080120263064062,0,-1.0
1379087,2025-11-22 17:30:00,Premier League,1X2,Draw,3.71,-0.0442718116208435,0,-1.0
1379095,2025-11-30 14:05:00,Premier League,1X2,Draw,3.44,-0.0841702367020575,0,-1.0
1379091,2025-11-30 16:30:00,Premier League,1X2,Draw,3.3800000000000003,-0.1095899757570091,1,2.3800000000000003
1379103,2025-12-02 19:30:00,Premier League,1X2,Draw,4.072,-0.0614193467794654,0,-1.0
1379108,2025-12-03 19:30:00,Premier League,1X2,Draw,3.314,-0.1034938902680903,0,-1.0
1379109,2025-12-06 12:30:00,Premier League,1X2,Draw,3.646,-0.0274376670053142,0,-1.0
1379110,2025-12-06 15:00:00,Premier League,1X2,Draw,3.504,-0.0929779743068859,1,2.504
1379121,2025-12-13 17:30:00,Premier League,1X2,Draw,3.528,-0.0532135239190167,0,-1.0
1379123,2025-12-14 14:00:00,Premier League,1X2,Draw,3.702,-0.0372414596670084,0,-1.0
1379128,2025-12-14 14:00:00,Premier League,1X2,Draw,3.652,-0.016352146333845,0,-1.0
1379138,2025-12-20 15:00:00,Premier League,1X2,Draw,3.446,-0.056683698220607,0,-1.0
1379137,2025-12-20 17:30:00,Premier League,1X2,Draw,3.73,-0.0771709940488747,0,-1.0
1379134,2025-12-20 20:00:00,Premier League,1X2,Draw,3.2660000000000005,-0.1062933757223987,0,-1.0
1379129,2025-12-21 16:30:00,Premier League,1X2,Draw,3.5759999999999996,-0.100455509120429,0,-1.0
1379146,2025-12-27 12:30:00,Premier League,1X2,Draw,4.0840000000000005,-0.0810910735905222,0,-1.0
1379141,2025-12-27 15:00:00,Premier League,1X2,Draw,3.3939999999999997,-0.0693521823719105,1,2.3939999999999997
1379148,2025-12-27 15:00:00,Premier League,1X2,Draw,3.396,-0.0508187039225979,0,-1.0
1379158,2025-12-30 19:30:00,Premier League,1X2,Draw,3.498,-0.0811170680326051,1,2.498
1379157,2026-01-01 20:00:00,Premier League,1X2,Draw,4.279999999999999,-0.0436577561024735,1,3.2799999999999994
1379160,2026-01-03 17:30:00,Premier League,1X2,Draw,4.1339999999999995,-0.0754204315389357,0,-1.0
1379164,2026-01-04 12:30:00,Premier League,1X2,Draw,3.4299999999999997,-0.0891853770055852,1,2.4299999999999997
1379173,2026-01-07 19:30:00,Premier League,1X2,Draw,3.472,-0.0390721843464096,1,2.472
1379175,2026-01-07 19:30:00,Premier League,1X2,Draw,3.54,-0.1073961943081308,0,-1.0
1379169,2026-01-08 20:00:00,Premier League,1X2,Draw,4.093999999999999,-0.1097268162773115,1,3.0939999999999994
1379184,2026-01-17 12:30:00,Premier League,1X2,Draw,4.052,0.0025035311951795,0,-1.0
1379192,2026-01-24 15:00:00,Premier League,1X2,Draw,3.5340000000000003,-0.0223548868580681,1,2.5340000000000003
1379193,2026-01-25 14:00:00,Premier League,1X2,Draw,3.662,-0.0123707657473688,0,-1.0
1379197,2026-01-25 14:00:00,Premier League,1X2,Draw,3.702,-0.1055264377348638,0,-1.0
1379208,2026-01-31 15:00:00,Premier League,1X2,Draw,3.614,-0.0671946222547572,0,-1.0
1379207,2026-02-01 16:30:00,Premier League,1X2,Draw,4.08,-0.0084341503436218,1,3.08
1379216,2026-02-07 12:30:00,Premier League,1X2,Draw,4.029999999999999,-0.1170496395578458,0,-1.0
1379212,2026-02-07 15:00:00,Premier League,1X2,Draw,3.46,-0.0543029902955698,0,-1.0
1379210,2026-02-07 15:00:00,Premier League,1X2,Draw,3.614,0.007551521362439,1,2.614
1379227,2026-02-10 19:30:00,Premier League,1X2,Draw,3.592,-0.0837317340495182,0,-1.0
1379228,2026-02-10 20:15:00,Premier League,1X2,Draw,4.0120000000000005,-0.0226653242427222,1,3.0120000000000005
1379226,2026-02-11 20:15:00,Premier League,1X2,Draw,4.052,-0.0186964418529302,0,-1.0
1379238,2026-02-21 17:30:00,Premier League,1X2,Draw,3.633999999999999,-0.0307445067687613,1,2.6339999999999995
1379237,2026-02-22 16:30:00,Premier League,1X2,Draw,4.002,-0.0435956882752494,0,-1.0
1379242,2026-02-28 15:00:00,Premier League,1X2,Draw,3.782,-0.0655730952182509,0,-1.0
1379244,2026-02-28 17:30:00,Premier League,1X2,Draw,4.1339999999999995,-0.109789181100471,0,-1.0
1379241,2026-03-01 14:00:00,Premier League,1X2,Draw,3.5420000000000003,-0.1201046952105154,0,-1.0
1379261,2026-03-14 15:00:00,Premier League,1X2,Draw,3.872,-0.0292423483743728,1,2.872
1379268,2026-03-14 20:00:00,Premier League,1X2,Draw,4.180000000000001,-0.0451444762750734,1,3.1800000000000006
1379271,2026-03-21 12:30:00,Premier League,1X2,Draw,3.754,-0.0879956004677761,0,-1.0
1379272,2026-03-21 17:30:00,Premier League,1X2,Draw,3.708,-0.0717746723291878,0,-1.0
1379274,2026-03-21 20:00:00,Premier League,1X2,Draw,3.5239999999999996,-0.1057612688302299,1,2.5239999999999996
1379284,2026-04-11 16:30:00,Premier League,1X2,Draw,4.4159999999999995,-0.1050388424505538,0,-1.0
1379286,2026-04-12 13:00:00,Premier League,1X2,Draw,3.3659999999999997,-0.0752546962256436,1,2.3659999999999997
1379298,2026-04-18 16:30:00,Premier League,1X2,Draw,3.640000000000001,-0.0121789322995476,1,2.640000000000001
1208184,2024-12-21 15:00:00,Premier League,1X2,Home,2.3,0.1839119150857089,0,-1.0
1208199,2024-12-26 15:00:00,Premier League,1X2,Home,2.01,0.1594293197064265,1,1.0099999999999998
1208200,2024-12-26 15:00:00,Premier League,1X2,Home,2.38,0.1921956536368527,1,1.38
1208213,2025-01-04 15:00:00,Premier League,1X2,Home,1.73,0.0823010746444157,1,0.73
1208246,2025-01-26 14:00:00,Premier League,1X2,Home,2.07,0.1870793875698302,0,-1.0
1208269,2025-02-15 15:00:00,Premier League,1X2,Home,1.95,0.1069270065257357,1,0.95
