season,league,best_bet_type,best_bet_outcome,bet_rating,best_bet_odds,best_bet_ev,home_goals,away_goals
2025,Premier League,TOTAL,Over2.5,Strong,1.8200000000000003,0.4252430094721742,2,0
2025,Premier League,TOTAL,Over2.5,Strong,1.718,0.3947901792475965,2,2
2025,Bundesliga,TOTAL,Over2.5,Strong,1.6199999999999999,0.11930562539060197,3,2
2025,Bundesliga,TOTAL,Over2.5,Strong,1.716,0.12213044035825393,1,0
2025,La Liga,TOTAL,Over2.5,Strong,1.828,0.26840816326530614,0,2
2025,Serie A,TOTAL,Over2.5,Strong,2.5140000000000002,0.174766355140187,1,2
2025,Bundesliga,TOTAL,Over2.5,Strong,1.7600000000000002,0.14177691077542365,0,2
2025,Serie A,TOTAL,Over2.5,Strong,2.072,1.071997928,6,0
2025,Serie A,TOTAL,Over2.5,Strong,2.4720000000000004,0.15514018691588793,3,0
2025,Premier League,TOTAL,Over2.5,Strong,1.752,0.13580829640054093,3,2
2025,Bundesliga,TOTAL,Over2.5,Strong,1.886,0.1484295795185755,1,1
2025,Ligue 1,TOTAL,Over2.5,Strong,1.9460000000000002,0.6055739204656478,1,2
2025,Serie A,TOTAL,Over2.5,Strong,2.586,0.20064285714285712,1,2
2025,Ligue 1,TOTAL,Over2.5,Medium,1.82,0.07598360549890493,0,1
2025,Ligue 1,TOTAL,Over2.5,Strong,1.655,0.35859138430537385,0,3
2025,Premier League,TOTAL,Over2.5,Strong,1.7079999999999997,0.16935511353538812,1,4
2025,Premier League,TOTAL,Over2.5,Strong,1.7380000000000002,0.516497867794832,4,1
2025,Ligue 1,TOTAL,Over2.5,Medium,1.7580000000000002,0.06180348297245608,5,2
2025,Ligue 1,1X2,Home,Medium,1.642,0.08067324166149081,3,1
2025,Premier League,TOTAL,Over2.5,Strong,1.904,0.239410400662313,1,2
2025,Ligue 1,TOTAL,Over2.5,Strong,1.877142857142857,0.13996286368119892,3,1
2025,Ligue 1,TOTAL,Over2.5,Medium,1.7720000000000002,0.04883971238217755,2,0
2025,La Liga,TOTAL,Over2.5,Strong,1.766,0.2253877551020409,2,0
2025,Serie A,TOTAL,Over2.5,Strong,2.4979999999999998,0.167289719626168,2,2
2025,Premier League,TOTAL,Over2.5,Strong,1.8960000000000001,0.4889028078114712,4,1
2025,Ligue 1,TOTAL,Over2.5,Weak,1.672,0.029039149523617303,3,0
2025,Ligue 1,TOTAL,Over2.5,Strong,1.828,0.11234016335945984,4,0
2025,Bundesliga,TOTAL,Over2.5,Strong,1.6199999999999999,0.1549308728065173,4,1
2025,Serie A,TOTAL,Over2.5,Strong,2.464,0.15140186915887854,2,0
2025,Ligue 1,TOTAL,Over2.5,Medium,1.834,0.08152182524591312,3,0
2025,Bundesliga,TOTAL,Over2.5,Strong,1.8099999999999998,0.17930925985717572,1,2
2025,Serie A,TOTAL,Over2.5,Strong,2.4175,0.12241071428571426,2,2
2025,Ligue 1,TOTAL,Over2.5,Strong,1.6974999999999998,0.14201754030353153,6,1
2025,Bundesliga,TOTAL,Over2.5,Strong,1.81,0.1994928301790082,2,1
2025,Ligue 1,TOTAL,Over2.5,Strong,2.0,0.30763301473054394,3,2
2025,Ligue 1,TOTAL,Over2.5,Weak,1.8150000000000002,0.027870601548756202,1,2
2025,Serie A,TOTAL,Over2.5,Strong,2.3560000000000003,0.10093457943925244,0,3
2025,Ligue 1,TOTAL,Over2.5,Weak,1.8125,0.03907092855338146,1,0
2025,Ligue 1,TOTAL,Over2.5,Strong,1.6675,0.12255378232473624,2,2
2025,Ligue 1,TOTAL,Over2.5,Strong,1.895,0.1492358733054071,3,5
2025,Bundesliga,TOTAL,Over2.5,Strong,1.906,0.23253805318479204,1,3
