league,type,bets,wins,hit_rate,roi,profit
Premier League,всего,142,101,0.7112676056338029,0.3171760563380282,45.039
Premier League,Over2.5,71,58,0.8169014084507042,0.3553661971830986,25.230999999999998
Premier League,Under2.5,71,43,0.6056338028169014,0.27898591549295776,19.808
Serie A,всего,20,13,0.65,0.08499999999999995,1.699999999999999
Serie A,Under2.5,20,13,0.65,0.08499999999999995,1.699999999999999
