league_id,league,fixture_id,date_utc,outcome,odds,p_model,p_market,edge,ev,draw_risk_score,actual_win,profit,p_catboost,p_poisson,p_market_base,p_draw_side,odds_bucket,edge_bucket,draw_risk_bucket,candidate_is_home,candidate_is_draw,candidate_is_away,candidate_is_favorite,clv
39,39,1208172,2024-12-09 20:00:00,Away,3.65,0.17744558712766567,0.26723067109813003,-0.08978508397046436,-0.3523236069840203,0.2953042789102319,0,-1.0,0.2264254705998703,0.36142758795616514,0.26723067109813003,0.1909279196813751,3.20-4.00,<-0.02,0.26-0.30,False,False,True,True,
39,39,1208177,2024-12-14 15:00:00,Away,8.5,0.13725425807797817,0.11190148386109836,0.025352774216879814,0.1666611936628144,0.24058065435276554,0,-1.0,0.21249005096916612,0.44058661999076887,0.11190148386109836,0.19278535269711894,4.00+,0.02-0.05,0.22-0.26,False,False,True,True,
39,39,1208179,2024-12-14 15:00:00,Away,9.0,0.11758369674711577,0.1055431131019037,0.012040583645212072,0.05825327072404196,0.22338081856271652,0,-1.0,0.1902340142498159,0.3020207614406354,0.1055431131019037,0.1724034914082104,4.00+,-0.02-0.02,0.22-0.26,False,False,True,True,
39,39,1208182,2024-12-14 15:00:00,Away,3.77,0.21014854708009287,0.2587843855551261,-0.04863583847503325,-0.20773997750804984,0.4045498869021972,1,2.77,0.2755877437736268,0.44639240900645244,0.2587843855551261,0.28493766469392656,3.20-4.00,<-0.02,0.34+,False,False,True,True,
39,39,1208174,2024-12-14 15:00:00,Away,12.9,0.11409647903258359,0.07537841590193356,0.03871806313065003,0.4718445795203283,0.2148616172565062,0,-1.0,0.19460818275847752,0.3355041818403139,0.07537841590193356,0.15639475006755393,4.00+,0.02-0.05,<=0.22,False,False,True,True,
39,39,1208180,2024-12-14 17:30:00,Away,2.76,0.32600123096005323,0.3508432273564881,-0.024841996396434862,-0.10023660255025313,0.32500520219512263,0,-1.0,0.40903850486641696,0.5461322856986554,0.3508432273564881,0.37685238360910206,2.40-3.20,<-0.02,0.30-0.34,False,False,True,True,
39,39,1208175,2024-12-15 14:00:00,Away,3.91,0.18411136948842902,0.2490372272143774,-0.06492585772594839,-0.28012454530024256,0.3991243383070457,1,2.91,0.2560631265751681,0.4001845977448625,0.2490372272143774,0.20057149811395553,3.20-4.00,<-0.02,0.34+,False,False,True,True,
39,39,1208178,2024-12-15 16:30:00,Away,4.8,0.16171717698856913,0.19786808794137242,-0.03615091095280329,-0.22375755045486823,0.280985568915311,1,3.8,0.20850502699597218,0.5043656304483711,0.19786808794137242,0.20900987241991356,4.00+,<-0.02,0.26-0.30,False,False,True,True,
39,39,1208181,2024-12-15 19:00:00,Away,1.67,0.4862201436583345,0.5653773669568339,-0.07915722329849945,-0.18801236009058142,0.27589793359886017,1,0.6699999999999999,0.4743172135306096,0.6742168841628794,0.5653773669568339,0.519041658741762,1.55-1.70,<-0.02,0.26-0.30,False,False,True,True,
39,39,1208176,2024-12-15 19:00:00,Away,7.5,0.09887985239363574,0.12693025623621246,-0.028050403842576718,-0.258401107047732,0.23693644349874726,0,-1.0,0.13422437851703378,0.3321030669361688,0.12693025623621246,0.09573936677991439,4.00+,<-0.02,0.22-0.26,False,False,True,True,
39,39,1208173,2024-12-16 20:00:00,Away,4.2,0.1651446625374425,0.2258485639686684,-0.06070390143122589,-0.3063924173427415,0.37582268404088115,0,-1.0,0.24149373431199797,0.3143358532157994,0.2258485639686684,0.19383849773307998,4.00+,<-0.02,0.34+,False,False,True,True,
39,39,1208183,2024-12-21 12:30:00,Away,2.05,0.3732509169282069,0.4557137627406023,-0.08246284581239544,-0.23483562029717597,0.3075399638068735,0,-1.0,0.4246099166040176,0.4783290529825541,0.4557137627406023,0.37979265826617814,2.00-2.40,<-0.02,0.30-0.34,False,False,True,True,
39,39,1208192,2024-12-21 15:00:00,Away,2.38,0.3369624628105503,0.39823008849557523,-0.06126762568502492,-0.19802933851089033,0.41221410148683946,0,-1.0,0.42806005854969886,0.4606653358982635,0.39823008849557523,0.36406158443108194,2.00-2.40,<-0.02,0.34+,False,False,True,True,
39,39,1208188,2024-12-21 15:00:00,Away,1.71,0.5508508868590558,0.5464480874316939,0.004402799427361881,-0.05804498347101461,0.2931973202723205,1,0.71,0.5890036708655462,0.6031355436692836,0.5464480874316939,0.5329450636446316,1.70-2.00,-0.02-0.02,0.26-0.30,False,False,True,True,
39,39,1208184,2024-12-21 15:00:00,Away,2.87,0.23443691273767703,0.3254637573904345,-0.09102684465275745,-0.3271660604428669,0.41420237844320845,1,1.87,0.2998060574402489,0.43041879879289163,0.3254637573904345,0.2703218536300217,2.40-3.20,<-0.02,0.34+,False,False,True,True,
39,39,1208185,2024-12-21 17:30:00,Away,1.56,0.5631232158876261,0.5993150684931506,-0.03619185260552449,-0.12152778321530322,0.2820709613683946,1,0.56,0.5563185506199702,0.6041089705748821,0.5993150684931506,0.5559752019647928,1.55-1.70,<-0.02,0.26-0.30,False,False,True,True,
39,39,1208189,2024-12-22 14:00:00,Away,2.65,0.2611103624100667,0.3532781589138514,-0.0921677965037847,-0.3080575396133233,0.41789815616919473,1,1.65,0.3073530818000188,0.47453759660165035,0.3532781589138514,0.3403616777085197,2.40-3.20,<-0.02,0.34+,False,False,True,True,
