league,market,bets,wins,hit_rate,avg_odds,avg_ev,roi,profit
Bundesliga,всего,64,19,0.296875,3.678375,0.03138204638506367,0.08621875,5.518
Bundesliga,1X2,64,19,0.296875,3.678375,0.03138204638506367,0.08621875,5.518
La Liga,всего,68,21,0.3088235294117647,3.4618627450980393,0.016825309530943452,0.05997058823529408,4.077999999999998
La Liga,1X2,68,21,0.3088235294117647,3.4618627450980393,0.016825309530943452,0.05997058823529408,4.077999999999998
Ligue 1,всего,58,18,0.3103448275862069,3.4611724137931033,-0.05258954725428821,0.060103448275862066,3.4859999999999998
Ligue 1,1X2,58,18,0.3103448275862069,3.4611724137931033,-0.05258954725428821,0.060103448275862066,3.4859999999999998
Premier League,всего,267,151,0.5655430711610487,2.529739700374532,0.14985711609142432,0.27397752808988757,73.15199999999999
Premier League,1X2,128,52,0.40625,3.235875,0.009440242381791739,0.2254453125,28.857
Premier League,TOTAL,139,99,0.7122302158273381,1.8794856115107916,0.27916186310461116,0.3186690647482014,44.294999999999995
Serie A,всего,179,71,0.39664804469273746,3.1966480446927377,0.0877710870960256,0.13099441340782123,23.448
Serie A,1X2,159,58,0.36477987421383645,3.3888301886792442,0.08465633914164726,0.13677987421383647,21.747999999999998
Serie A,TOTAL,20,13,0.65,1.6688000000000003,0.11253333333333342,0.08499999999999995,1.699999999999999
