league,market,bets,wins,hit_rate,avg_odds,avg_ev,roi,profit
Bundesliga,всего,64,19,0.296875,3.678375,0.03138204638506367,0.08621875,5.518
Bundesliga,1X2,64,19,0.296875,3.678375,0.03138204638506367,0.08621875,5.518
La Liga,всего,68,21,0.3088235294117647,3.4618627450980393,0.016825309530943452,0.05997058823529408,4.077999999999998
La Liga,1X2,68,21,0.3088235294117647,3.4618627450980393,0.016825309530943452,0.05997058823529408,4.077999999999998
Ligue 1,всего,58,18,0.3103448275862069,3.4611724137931033,-0.05258954725428821,0.060103448275862066,3.4859999999999998
Ligue 1,1X2,58,18,0.3103448275862069,3.4611724137931033,-0.05258954725428821,0.060103448275862066,3.4859999999999998
Premier League,всего,319,164,0.5141065830721003,2.6849952978056426,0.1210829391190445,0.19944827586206895,63.623999999999995
Premier League,1X2,177,63,0.3559322033898305,3.3305480225988706,-0.0027239675125763896,0.10499999999999998,18.584999999999997
Premier League,TOTAL,142,101,0.7112676056338029,1.880327464788732,0.2754056325964874,0.3171760563380282,45.039
Serie A,всего,205,82,0.4,3.1605951219512196,0.0748246078713869,0.14088780487804878,28.881999999999998
Serie A,1X2,185,69,0.372972972972973,3.3218702702702707,0.0707479889025278,0.1469297297297297,27.181999999999995
Serie A,TOTAL,20,13,0.65,1.6688000000000003,0.11253333333333342,0.08499999999999995,1.699999999999999
