league,outcome,odds_bucket,edge_bucket,prob_bucket,n,wins,hit_rate,avg_odds,avg_p_model,avg_p_market,avg_ev,actual_win_rate,calibration_gap,profit,roi,model_logloss,market_logloss,model_minus_market_logloss
Bundesliga,Over2.5,1.55-1.70,0.02-0.05,0.56-0.60,1.0,1.0,1.0,1.65,0.597802208020137,0.5714285714285715,-0.01362635676677404,1.0,-0.40219779197986305,0.6499999999999999,0.6499999999999999,0.5144953355624448,0.5596157879354225,-0.04512045237297779
Bundesliga,Over2.5,1.55-1.70,0.02-0.05,0.60-0.65,11.0,6.0,0.5454545454545454,1.611,0.6273149785273606,0.5916075286000535,0.010485872167207512,0.5454545454545454,0.08186043307281521,-1.3299999999999994,-0.12090909090909085,0.7025956066333833,0.6954851641806192,0.007110442452764043
Bundesliga,Over2.5,1.55-1.70,0.05-0.08,0.60-0.65,4.0,1.0,0.25,1.6745,0.6325949705373456,0.5696190679753268,0.05922308397572246,0.25,0.3825949705373456,-2.352,-0.588,0.8658810350705375,0.7633706401871286,0.10251039488340885
Bundesliga,Over2.5,1.55-1.70,0.05-0.08,0.65+,9.0,7.0,0.7777777777777778,1.5957222222222223,0.6653861273392329,0.599746992510944,0.06177324729271426,0.7777777777777778,-0.11239165043854493,2.171500000000001,0.24127777777777787,0.5570908349569694,0.5990804074259644,-0.04198957246899493
Bundesliga,Over2.5,1.55-1.70,0.08-0.12,0.65+,6.0,4.0,0.6666666666666666,1.607,0.6928325520895523,0.5922542716722243,0.11317157717591893,0.6666666666666666,0.02616588542288567,0.40200000000000014,0.06700000000000002,0.6231924355951615,0.6434597651225883,-0.020267329527426825
Bundesliga,Over2.5,1.55-1.70,0.12+,0.65+,20.0,20.0,1.0,1.6534,0.8063539783730785,0.5841971949663672,0.33406333446391034,1.0,-0.19364602162692146,13.068,0.6534,0.21696972481413118,0.5377343273541559,-0.32076460254002476
Bundesliga,Over2.5,1.55-1.70,<0.02,0.56-0.60,1.0,1.0,1.0,1.6960000000000002,0.5695858152802001,0.5631117980422463,-0.03398245728478044,1.0,-0.43041418471979986,0.6960000000000002,0.6960000000000002,0.5628458221435415,0.5742770949924716,-0.011431272848930085
Bundesliga,Over2.5,1.55-1.70,<0.02,0.60-0.65,4.0,4.0,1.0,1.6375,0.6075253825921278,0.5957365267448242,-0.005256363474405695,1.0,-0.39247461740787215,2.55,0.6375,0.49836693640364715,0.5179931264480223,-0.019626190044375158
Bundesliga,Over2.5,1.70-2.00,0.02-0.05,0.50-0.52,1.0,1.0,1.0,1.996,0.5005836291793917,0.479394887845592,-0.0008350761579342114,1.0,-0.4994163708206083,0.996,0.996,0.6919806029175369,0.7352306206899576,-0.04325001777242066
Bundesliga,Over2.5,1.70-2.00,0.02-0.05,0.52-0.56,4.0,3.0,0.75,1.9015,0.5409784021097401,0.5044918993909832,0.02845099448161742,0.75,-0.20902159789025987,1.7739999999999998,0.44349999999999995,0.6635721530529695,0.7074008774053087,-0.0438287243523392
Bundesliga,Over2.5,1.70-2.00,0.02-0.05,0.56-0.60,2.0,2.0,1.0,1.81,0.57464971816151,0.5346462002221165,0.040310641384593615,1.0,-0.42535028183849,1.6199999999999999,0.8099999999999999,0.5541380533191218,0.6261683375549216,-0.07203028423579982
Bundesliga,Over2.5,1.70-2.00,0.05-0.08,0.52-0.56,1.0,1.0,1.0,1.948,0.5445438988078892,0.49297241020301924,0.06077151487776811,1.0,-0.4554561011921108,0.948,0.948,0.6078067176222086,0.7073020695824784,-0.09949535196026982
Bundesliga,Over2.5,1.70-2.00,0.05-0.08,0.56-0.60,4.0,4.0,1.0,1.858,0.5794863688298748,0.5241122393626019,0.07645162224674074,1.0,-0.4205136311701252,3.4320000000000004,0.8580000000000001,0.5456524383886985,0.6463032296464146,-0.10065079125771614
Bundesliga,Over2.5,1.70-2.00,0.05-0.08,0.60-0.65,4.0,0.0,0.0,1.7461666666666666,0.6150341218881137,0.5475111906110351,0.07391038680457712,0.0,0.6150341218881137,-4.0,-1.0,0.9546153863690366,0.7931551163095367,0.16146027005949992
Bundesliga,Over2.5,1.70-2.00,0.08-0.12,0.60-0.65,7.0,1.0,0.14285714285714285,1.775642857142857,0.638732185332754,0.538725406423959,0.1338560449020568,0.14285714285714285,0.49587504247561115,-5.276,-0.7537142857142857,0.9377918800028062,0.7441540470911558,0.19363783291165038
Bundesliga,Over2.5,1.70-2.00,0.08-0.12,0.65+,2.0,1.0,0.5,1.71,0.6524792084396561,0.5569896941757113,0.11574810418941972,0.5,0.15247920843965612,-0.29600000000000004,-0.14800000000000002,0.7451407689536014,0.6946878547384605,0.050452914215140865
Bundesliga,Over2.5,1.70-2.00,0.12+,0.60-0.65,4.0,1.0,0.25,1.881,0.6453875446024144,0.5082400893019817,0.2139363646735603,0.25,0.39538754460241443,-2.0940000000000003,-0.5235000000000001,0.8856408071285047,0.7087040089839561,0.17693679814454855
Bundesliga,Over2.5,1.70-2.00,0.12+,0.65+,39.0,38.0,0.9743589743589743,1.816230769230769,0.7661704241776495,0.5331555062249547,0.39067059044587965,0.9743589743589743,-0.20818855018132487,30.064999999999998,0.7708974358974359,0.29051013093411915,0.6340700922113186,-0.34355996127719945
Bundesliga,Over2.5,1.70-2.00,<0.02,0.50-0.52,1.0,1.0,1.0,1.9080000000000001,0.5037920629633806,0.500784929356358,-0.0387647438658697,1.0,-0.49620793703661936,0.9080000000000001,0.9080000000000001,0.685591669527981,0.6915785527873186,-0.005986883259337605
Bundesliga,Over2.5,1.70-2.00,<0.02,0.52-0.56,3.0,1.0,0.3333333333333333,1.7773333333333332,0.5450065413835518,0.5389958818832795,-0.031442297741491466,0.3333333333333333,0.21167320805021844,-1.2080000000000002,-0.40266666666666673,0.7353742275076888,0.7241176313107646,0.011256596196924207
Bundesliga,Over2.5,1.70-2.00,<0.02,0.56-0.60,1.0,1.0,1.0,1.732,0.5676407858907075,0.5498960498960499,-0.016846158837294567,1.0,-0.43235921410929246,0.732,0.732,0.5662664795288658,0.5980260188074071,-0.03175953927854136
Bundesliga,Over2.5,2.00-2.40,0.02-0.05,0.50-0.52,2.0,2.0,1.0,2.0410000000000004,0.5120132958605492,0.4699885098704528,0.04488943950973279,1.0,-0.4879867041394508,2.0820000000000003,1.0410000000000001,0.6694486968046756,0.7552011139275281,-0.08575241712285253
Bundesliga,Over2.5,2.00-2.40,0.05-0.08,0.50-0.52,1.0,0.0,0.0,2.2,0.5,0.43269726663228464,0.10000000000000009,0.0,0.5,-1.0,-1.0,0.6931471805599453,0.5668621964561897,0.12628498410375555
Bundesliga,Over2.5,2.00-2.40,0.05-0.08,0.52-0.56,1.0,1.0,1.0,2.008,0.5321203805348339,0.47681083897863474,0.06849772411394639,1.0,-0.4678796194651661,1.008,1.008,0.6308855360369541,0.7406354307321785,-0.10974989469522445
Bundesliga,Over2.5,2.00-2.40,0.08-0.12,0.50-0.52,1.0,1.0,1.0,2.2,0.5147065821173558,0.4335736354273944,0.13235448065818267,1.0,-0.48529341788264424,1.2000000000000002,1.2000000000000002,0.664158284145326,0.8356936346089435,-0.17153535046361756
Bundesliga,Over2.5,2.00-2.40,0.08-0.12,0.52-0.56,2.0,2.0,1.0,2.11,0.5536920350331527,0.4611531684396006,0.16813709092598683,1.0,-0.4463079649668473,2.2199999999999998,1.1099999999999999,0.5911572597150088,0.7741207287080929,-0.18296346899308413
Bundesliga,Over2.5,2.00-2.40,0.12+,0.65+,3.0,2.0,0.6666666666666666,2.099333333333333,0.7062482336037696,0.4593837378386642,0.4854248078741059,0.6666666666666666,0.03958156693710302,1.2639999999999998,0.4213333333333333,0.5756287484243129,0.7364981914055452,-0.1608694429812323
Bundesliga,Over2.5,<1.55,0.12+,0.65+,4.0,4.0,1.0,1.55,0.8429870327514648,0.6074691053594007,0.30662990076477054,1.0,-0.1570129672485352,2.2,0.55,0.17080926812385777,0.4985209644317857,-0.3277116963079279
Bundesliga,Under2.5,1.55-1.70,0.05-0.08,0.60-0.65,1.0,1.0,1.0,1.65,0.6485714268684387,0.5714285714285715,0.07014285433292389,1.0,-0.3514285731315613,0.6499999999999999,0.6499999999999999,0.432983139627812,0.5596157879354225,-0.12663264830761056
Bundesliga,Under2.5,1.55-1.70,0.12+,0.65+,1.0,1.0,1.0,1.65,0.7932773092213798,0.5714285714285715,0.30890756021527666,1.0,-0.20672269077862016,0.6499999999999999,0.6499999999999999,0.2315824221068519,0.5596157879354225,-0.3280333658285707
Bundesliga,Under2.5,1.70-2.00,0.02-0.05,0.50-0.52,3.0,0.0,0.0,1.9513333333333334,0.5140711766578616,0.4911301599349643,0.0029724330778369743,0.0,0.5140711766578616,-3.0,-1.0,0.7218048419841923,0.6756426172775551,0.04616222470663711
