date,home_team,away_team,home_goals,away_goals
2026-03-04,Aston Villa,Chelsea,1,4
2026-03-04,Brighton,Arsenal,0,1
2026-03-04,Fulham,West Ham,0,1
2026-03-04,Man City,Nott'm Forest,2,2
2026-03-04,Newcastle,Man United,2,1
