fixture_id,team_id,team_name,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,possession,passes,passes_accurate,passes_percentage,fouls,corners,offsides,yellow_cards,red_cards,saves,tackles,attacks,dangerous_attacks,expected_goals,goals_prevented,inserted_dttm
1378969,35,Bournemouth,3.0,4.0,10.0,3.0,8.0,2.0,39.0,299.0,209.0,70.0,10.0,7.0,2.0,2.0,,6.0,,,,1.7,0.0,2025-08-18 00:28:37.407968
1378969,40,Liverpool,10.0,7.0,19.0,2.0,15.0,4.0,61.0,489.0,401.0,82.0,7.0,6.0,2.0,1.0,,1.0,,,,2.21,0.0,2025-08-18 00:28:37.407968
