id,goals,own_goals,shots,xG,time,player_id,team_id,position,player,h_a,yellow_card,red_card,roster_in,roster_out,key_passes,assists,xA,xGChain,xGBuildup,positionOrder,side
774695,0,0,0,0,90,4401,71,GK,Emiliano Martinez,h,0,0,0,0,1,0,0.06287028640508652,0.11560527235269547,0.05273498594760895,1,h
774696,0,0,0,0,55,8864,71,DR,Matthew Cash,h,1,0,774707,0,0,0,0,0.32006531953811646,0.32006531953811646,2,h
774698,0,0,0,0,90,1024,71,DC,Tyrone Mings,h,0,0,0,0,0,0,0,0.3742774426937103,0.3742774426937103,3,h
774697,0,0,0,0,90,7726,71,DC,Ezri Konsa Ngoyo,h,0,0,0,0,0,0,0,0.05273498594760895,0.05273498594760895,3,h
774699,0,0,0,0,90,11807,71,DL,Ian Maatsen,h,0,0,0,0,1,0,0.04437154158949852,0.4294954538345337,0.3851239085197449,4,h
774701,1,0,1,0.14487452805042267,72,6122,71,DMC,Douglas Luiz,h,0,0,774708,0,0,0,0,0.5093113780021667,0.3644368648529053,7,h
774700,0,0,0,0,90,9667,71,DMC,Amadou Onana,h,0,0,0,0,0,0,0,0.6416077613830566,0.6416077613830566,7,h
774702,0,0,0,0,72,5221,71,AMR,Leon Bailey,h,0,0,774706,0,1,1,0.14487452805042267,0.4649398624897003,0.32006531953811646,11,h
774703,0,0,0,0,72,2203,71,AMC,Emiliano Buendía,h,0,0,774710,0,1,0,0.32006531953811646,0.32006531953811646,0,12,h
774704,0,0,3,0.1555427610874176,90,12412,71,AML,Morgan Rogers,h,1,0,0,0,0,0,0,0.09710652381181717,0,13,h
774705,0,0,2,0.38293561339378357,81,8865,71,FW,Ollie Watkins,h,1,0,774709,0,0,0,0,0.5721817016601562,0.1892460733652115,15,h
774707,0,0,0,0,35,10025,71,Sub,Lamare Bogarde,h,0,0,0,774696,0,0,0,0,0,17,h
774710,0,0,0,0,18,6345,71,Sub,Jadon Sancho,h,0,0,0,774703,2,0,0.06358145922422409,0.3851239085197449,0.3742774426937103,17,h
774708,0,0,1,0.010846469551324844,18,592,71,Sub,Ross Barkley,h,0,0,0,774701,1,0,0.3215424418449402,0.3851239085197449,0.3742774426937103,17,h
774706,0,0,1,0.05279543623328209,18,14446,71,Sub,Alysson Edward,h,0,0,0,774702,0,0,0,0.05279543623328209,0,17,h
774709,0,0,1,0.3215424418449402,9,702,71,Sub,Tammy Abraham,h,0,0,0,774705,0,0,0,0.3215424418449402,0,17,h
774711,0,0,0,0,90,9272,80,GK,Filip Jorgensen,a,0,0,0,0,0,0,0,1.174233078956604,1.174233078956604,1,a
774712,0,0,0,0,84,9017,80,DR,Malo Gusto,a,0,0,774722,0,1,1,0.8978991508483887,1.7778630256652832,1.7778630256652832,2,a
774713,0,0,2,0.12694668769836426,88,7589,80,DC,Wesley Fofana,a,0,0,774725,0,0,0,0,1.4637987613677979,1.4637987613677979,3,a
774714,0,0,0,0,90,6615,80,DC,Trevoh Chalobah,a,0,0,0,0,0,0,0,1.9164667129516602,1.9164667129516602,3,a
774715,0,0,1,0.07121910154819489,90,13776,80,DL,Jorrel Hato,a,0,0,0,0,0,0,0,1.4639548063278198,1.3927357196807861,4,a
774718,0,0,1,0.048743750900030136,90,8067,80,MC,Reece James,a,0,0,0,0,0,0,0,2.3272643089294434,2.3272643089294434,9,a
774716,0,0,1,0.05760219320654869,88,11356,80,MC,Enzo Fernández,a,1,0,774724,0,2,1,0.48710158467292786,2.2904789447784424,2.2558891773223877,9,a
774717,0,0,0,0,90,9453,80,MC,Moisés Caicedo,a,0,0,0,0,0,0,0,2.0897765159606934,2.0897765159606934,9,a
774719,1,0,2,0.16840241849422455,90,8497,80,FWR,Cole Palmer,a,0,0,774723,0,2,0,0.1768612414598465,2.819357395172119,2.5321695804595947,14,a
774720,3,0,5,2.3705861568450928,90,8272,80,FW,João Pedro,a,1,0,774726,0,1,1,0.1363144814968109,3.0171706676483154,0.5102701783180237,15,a
774721,0,0,3,0.5453334450721741,90,10552,80,FWL,Alejandro Garnacho,a,0,0,0,0,6,1,1.1110424995422363,2.227673292160034,1.2999142408370972,16,a
774724,0,0,0,0,2,7134,80,Sub,Marc Cucurella,a,0,0,0,774716,1,0,0.4526680111885071,0.4526680111885071,0.4526680111885071,17,a
774722,0,0,0,0,6,10004,80,Sub,Romeo Lavia,a,0,0,0,774712,0,0,0,0.4526680111885071,0.4526680111885071,17,a
774725,0,0,0,0,2,5590,80,Sub,Tosin Adarabioyo,a,0,0,0,774713,0,0,0,0.4526680111885071,0.4526680111885071,17,a
774723,0,0,0,0,1,11808,80,Sub,Andrey Santos,a,0,0,0,774719,0,0,0,0,0,17,a
774726,0,0,0,0,1,8868,80,Sub,Liam Delap,a,0,0,0,774720,0,0,0,0,0,17,a
