player_id,season,reason,ts
19168,2024,photo_url_not_found_or_download_failed,2025-09-18 17:26:42.807162+00:00
19181,2024,photo_url_not_found_or_download_failed,2025-09-18 17:26:43.725001+00:00
19186,2024,photo_url_not_found_or_download_failed,2025-09-18 17:26:44.621562+00:00
19629,2024,photo_url_not_found_or_download_failed,2025-09-18 17:26:56.683710+00:00
82227,2024,photo_url_not_found_or_download_failed,2025-09-18 17:35:24.673340+00:00
138919,2024,photo_url_not_found_or_download_failed,2025-09-18 17:37:39.285932+00:00
138936,2024,photo_url_not_found_or_download_failed,2025-09-18 17:37:40.138083+00:00
152963,2024,photo_url_not_found_or_download_failed,2025-09-18 17:38:05.403710+00:00
154793,2024,photo_url_not_found_or_download_failed,2025-09-18 17:38:09.261967+00:00
174926,2024,photo_url_not_found_or_download_failed,2025-09-18 17:39:28.915194+00:00
181822,2024,photo_url_not_found_or_download_failed,2025-09-18 17:39:47.038696+00:00
284208,2024,photo_url_not_found_or_download_failed,2025-09-18 17:43:01.800575+00:00
389306,2024,photo_url_not_found_or_download_failed,2025-09-18 17:49:53.202178+00:00
396757,2024,photo_url_not_found_or_download_failed,2025-09-18 17:50:29.109535+00:00
396757,2024,photo_url_not_found_or_download_failed,2025-09-18 17:50:29.902010+00:00
496425,2024,photo_url_not_found_or_download_failed,2025-09-18 17:54:45.827551+00:00
529476,2025,download_failed_or_not_image,2025-09-18 17:55:50.100912+00:00
529476,2024,photo_url_not_found_or_download_failed,2025-09-18 17:55:50.519495+00:00
