date,league_id,league,fixture_id,home_team,away_team,score,outcome_pick,outcome_prob,outcome_odds,outcome_ev,outcome_decision,outcome_profit,total_pick,total_prob,total_odds,total_edge,total_decision,total_profit
2026-02-06,78,Bundesliga,1388495,Union Berlin,Eintracht Frankfurt,1-1,Home,0.457277344841317,2.196,0.004181049271532178,NO BET,,Over,0.5915032679738562,1.9920000000000002,0.10810077834730025,A,-1.0
2026-02-06,140,La Liga,1391043,Celta Vigo,Osasuna,1-2,Draw,0.29780809942875935,3.31,-0.014255190890806513,NO BET,,Under,0.43137254901960786,1.686,-0.0038365371961898154,NO BET,
2026-02-06,61,Ligue 1,1387883,Metz,Lille,0-0,Home,0.2761551627235776,4.384,0.21066423338016427,NO BET,,Under,0.4785276073619632,2.144,-0.07720074929951948,NO BET,
2026-02-06,39,Premier League,1379214,Leeds,Nottingham Forest,3-1,Away,0.33906568228877193,3.096,0.04974735236603789,NO BET,,Over,0.551094890510949,2.05,0.08218297341250336,B,0.5249999999999999
2026-02-06,135,Serie A,1378103,Verona,Pisa,0-0,Draw,0.3566142975085018,3.0420000000000003,0.08482069302086259,NO BET,,Under,0.45263157894736844,1.5939999999999999,0.047446017178176814,NO BET,
2026-02-07,78,Bundesliga,1388492,1. FC Heidenheim,Hamburger SV,0-2,Home,0.3472042914444753,2.8080000000000003,-0.02505034962391328,NO BET,,Over,0.5,1.83,-0.025906735751295318,NO BET,
2026-02-07,78,Bundesliga,1388489,Borussia Mönchengladbach,Bayer Leverkusen,1-1,Away,0.5278826997595225,2.072,0.09377295390173068,NO BET,,Over,0.5915032679738562,1.598,-0.004144505305496038,NO BET,
2026-02-07,78,Bundesliga,1388494,FC St. Pauli,VfB Stuttgart,2-1,Away,0.5402635309435346,1.8660000000000003,0.008131748740635825,NO BET,,Over,0.5915032679738562,1.92,0.08994563557510238,A,0.9199999999999999
2026-02-07,78,Bundesliga,1388493,FSV Mainz 05,FC Augsburg,2-0,Away,0.2801837999166923,3.7399999999999998,0.04788741168842914,NO BET,,Over,0.5915032679738562,1.916,0.08890721397593315,A,-1.0
2026-02-07,78,Bundesliga,1388491,SC Freiburg,Werder Bremen,1-0,Away,0.32540765324596777,4.544,0.4786523763496775,NO BET,,Over,0.5915032679738562,1.716,0.036986134017469974,B,-0.5
2026-02-07,78,Bundesliga,1388496,VfL Wolfsburg,Borussia Dortmund,1-2,Home,0.23703699977150516,4.366,0.03490354100239146,NO BET,,Over,0.5915032679738562,1.614,0.0009401020682244798,B,0.30700000000000005
2026-02-07,140,La Liga,1391042,Barcelona,Mallorca,3-0,Away,0.11714758682555788,14.2,0.6634957329229219,NO BET,,Under,0.28796231732473343,3.682,-0.45738181222992236,NO BET,
2026-02-07,140,La Liga,1391045,Real Sociedad,Elche,3-1,Draw,0.2668757997008776,3.972,0.060030676411885864,NO BET,,Under,0.43137254901960786,1.9,-0.061877710585791945,NO BET,
2026-02-07,61,Ligue 1,1387882,Lens,Rennes,3-1,Away,0.3402296453968887,4.322,0.47047252740535295,NO BET,,Over,0.5265306122448976,1.596,-0.07003157177936936,NO BET,
2026-02-07,61,Ligue 1,1387884,Nantes,Lyon,0-1,Home,0.2691786298991095,5.246,0.4121110924507285,NO BET,,Under,0.4785276073619632,1.9259999999999997,-0.021732132897776868,NO BET,
2026-02-07,61,Ligue 1,1387880,Stade Brestois 29,Lorient,2-0,Away,0.3280542762696361,3.3660000000000005,0.1042306939235953,NO BET,,Under,0.4785276073619632,1.754,0.021994551661807027,B,0.377
2026-02-07,39,Premier League,1379209,Arsenal,Sunderland,3-0,Away,0.11530639736395586,15.080000000000002,0.7388204722484546,NO BET,,Over,0.551094890510949,1.768,0.011511557177615539,B,0.384
2026-02-07,39,Premier League,1379210,Bournemouth,Aston Villa,1-1,Away,0.4183671132810237,2.424,0.014121882593201462,NO BET,,Over,0.551094890510949,1.6460000000000001,-0.02771780140307345,NO BET,
2026-02-07,39,Premier League,1379212,Burnley,West Ham,0-2,Home,0.37498654026533834,3.3660000000000005,0.2622046945331291,NO BET,,Over,0.551094890510949,1.954,0.057574931983214395,NO BET,
2026-02-07,39,Premier League,1379213,Fulham,Everton,1-2,Home,0.5977036865124039,2.1060000000000003,0.2587639637951229,A,-1.0,Over,0.551094890510949,2.226,0.12333139436699003,A,1.226
2026-02-07,39,Premier League,1379216,Manchester United,Tottenham,2-0,Away,0.26472682266882985,4.886,0.2934552555599026,NO BET,,Over,0.551094890510949,1.6280000000000001,-0.03444482435666807,NO BET,
2026-02-07,39,Premier League,1379217,Newcastle,Brentford,2-3,Home,0.6306779463096454,1.8560000000000003,0.17053826835070196,NO BET,,Over,0.551094890510949,1.686,-0.013246194760368812,NO BET,
2026-02-07,39,Premier League,1379218,Wolves,Chelsea,1-3,Home,0.23602386586437862,4.684,0.1055357877087495,NO BET,,Over,0.551094890510949,1.7,-0.008718677588481438,NO BET,
2026-02-07,135,Serie A,1378096,Fiorentina,Torino,2-2,Draw,0.2961527136070819,3.522,0.04304985732414246,NO BET,,Under,0.45263157894736844,1.8379999999999999,-0.023041298899422413,NO BET,
2026-02-07,135,Serie A,1378097,Genoa,Napoli,2-3,Away,0.5287231336514793,1.8980000000000001,0.003516507670507707,NO BET,,Under,0.45263157894736844,1.54,0.07106567210891446,NO BET,
2026-02-08,78,Bundesliga,1388490,1. FC Köln,RB Leipzig,1-2,Away,0.48558678645837794,2.1260000000000003,0.032357508010511626,NO BET,,Over,0.5915032679738562,1.4799999999999998,-0.044502634633128535,NO BET,
2026-02-08,78,Bundesliga,1388488,Bayern München,1899 Hoffenheim,5-1,Draw,0.22341069910843386,6.282,0.4034660117991815,NO BET,,Over,0.5915032679738562,1.244,-0.15939781332370084,NO BET,
2026-02-08,140,La Liga,1391039,Alaves,Getafe,0-2,Home,0.5559686847207335,2.2619999999999996,0.25760116483829876,A,-1.0,Under,0.28796231732473343,1.302,0.00880279759917596,NO BET,
2026-02-08,140,La Liga,1391040,Athletic Club,Levante,4-2,Home,0.6279276495912952,1.652,0.03733647712481969,NO BET,,Under,0.28796231732473343,1.83,-0.18637671844509557,NO BET,
2026-02-08,140,La Liga,1391041,Atletico Madrid,Real Betis,0-1,Away,0.18185597138712056,5.618,0.021666847252843402,NO BET,,Under,0.28796231732473343,2.1719999999999997,-0.2738586862965805,NO BET,
2026-02-08,140,La Liga,1391046,Sevilla,Girona,1-1,,,,,NO BET,,,,,,NO BET,
2026-02-08,140,La Liga,1391047,Valencia,Real Madrid,0-2,Draw,0.2567980194286935,4.486,0.15199591515711908,NO BET,,Under,0.28796231732473343,2.3760000000000003,-0.3169256663819875,NO BET,
2026-02-08,61,Ligue 1,1387878,Angers,Toulouse,1-0,Home,0.3584790943110295,3.4859999999999998,0.2496581227682486,NO BET,,Under,0.4785276073619632,1.598,0.0741753806413154,A,0.5980000000000001
2026-02-08,61,Ligue 1,1387879,Auxerre,Paris FC,0-0,Home,0.4094698726140694,2.464,0.00893376612106711,NO BET,,Under,0.4785276073619632,1.7139999999999997,0.03379486216217087,B,0.3569999999999999
2026-02-08,61,Ligue 1,1387881,Le Havre,Strasbourg,2-1,Away,0.5419593219360451,1.9979999999999998,0.082834725228218,NO BET,,Under,0.4785276073619632,1.8560000000000003,-0.003049974371301001,NO BET,
2026-02-08,61,Ligue 1,1387885,Nice,Monaco,0-0,Away,0.48619273640646127,2.168,0.05406585252920815,NO BET,,Over,0.5265306122448976,1.5500000000000003,-0.08323776640565628,NO BET,
2026-02-08,61,Ligue 1,1387886,Paris Saint Germain,Marseille,5-0,Away,0.1991099395192016,6.542,0.302577224334617,NO BET,,Over,0.5265306122448976,1.416,-0.13760601014599416,NO BET,
2026-02-08,39,Premier League,1379211,Brighton,Crystal Palace,0-1,Home,0.606212428479188,1.966,0.1918136343900836,A,-1.0,Over,0.551094890510949,1.832,0.025214973326683876,B,-0.5
2026-02-08,39,Premier League,1379215,Liverpool,Manchester City,1-2,Home,0.4404436561791948,2.4419999999999997,0.07556340838959352,NO BET,,Over,0.551094890510949,1.578,-0.05222335986612503,NO BET,
2026-02-08,135,Serie A,1378095,Bologna,Parma,0-1,Away,0.2314397016306342,5.904000000000001,0.36641999842726447,NO BET,,Under,0.30303030303030304,1.844,-0.17468990422358305,NO BET,
2026-02-08,135,Serie A,1378098,Juventus,Lazio,2-2,Away,0.15638163975215896,7.052,0.10280332353222499,NO BET,,Under,0.45263157894736844,1.6760000000000002,0.021117675754783405,B,-0.5
2026-02-08,135,Serie A,1378099,Lecce,Udinese,2-1,Away,0.36672429717197613,2.62,-0.03918234140942245,NO BET,,Under,0.45263157894736844,1.454,0.10328030552113104,NO BET,
