date,league_id,league,fixture_id,home_team,away_team,score,outcome_pick,outcome_prob,outcome_odds,outcome_ev,outcome_decision,outcome_profit,total_pick,total_prob,total_odds,total_edge,total_decision,total_profit
2026-01-01,39,Premier League,1379150,Brentford,Tottenham,0-0,Home,0.49576675288204486,2.284,0.1323312635825904,NO BET,,Over,0.5103926062583923,1.922,0.009354184659222997,B,-0.5
2026-01-01,39,Premier League,1379153,Crystal Palace,Fulham,1-1,Home,0.5205189066697482,2.1380000000000003,0.11286942245992182,NO BET,,Over,0.5103926062583923,1.9560000000000002,0.017128357553729157,B,-0.5
2026-01-01,39,Premier League,1379154,Liverpool,Leeds,0-0,Away,0.15880448943259717,6.672,0.059543553494288304,NO BET,,Over,0.5462427735328674,1.6480000000000001,-0.032273850508053314,NO BET,
2026-01-01,39,Premier League,1379157,Sunderland,Manchester City,0-0,Home,0.21731351370741622,6.1899999999999995,0.3451706498489062,NO BET,,Under,0.4788494110107422,2.1799999999999997,-0.08387645372854535,NO BET,
2026-01-02,140,La Liga,1390995,Rayo Vallecano,Getafe,1-1,Home,0.6140231169304512,2.13,0.3078692390618609,A,-1.0,Under,0.4788494110107422,1.3980000000000001,0.15358184470083053,NO BET,
2026-01-02,61,Ligue 1,1387850,Toulouse,Lens,0-3,Away,0.4700408374725249,2.476,0.1638211135819716,B,0.738,Over,0.5103926062583923,1.9939999999999998,0.03485341635833972,B,0.4969999999999999
2026-01-02,135,Serie A,1378035,Cagliari,AC Milan,0-1,Home,0.2047904170835799,5.966,0.2217796283206377,NO BET,,Over,0.5103926062583923,1.964,0.019200896413832713,B,-0.5
2026-01-03,140,La Liga,1390990,Celta Vigo,Valencia,4-1,Away,0.30993141865140494,3.9639999999999995,0.2285681435341691,NO BET,,Under,0.4788494110107422,1.782,0.015510877469400497,B,-0.5
2026-01-03,140,La Liga,1390991,Elche,Villarreal,1-3,Home,0.5186622697325505,3.232,0.6763164557756032,NO BET,,Over,0.5462427735328674,1.8080000000000003,0.01707610686620087,B,0.40400000000000014
2026-01-03,140,La Liga,1390992,Espanyol,Barcelona,0-2,Home,0.21040697855338975,5.428,0.1420890795877996,NO BET,,Over,0.702479362487793,1.39,0.02603615950827709,NO BET,
2026-01-03,140,La Liga,1390994,Osasuna,Athletic Club,1-1,Home,0.46950602993785207,3.09,0.45077363250796276,NO BET,,Under,0.4788494110107422,1.542,0.09621913805788868,NO BET,
2026-01-03,61,Ligue 1,1387844,Lille,Rennes,0-2,Away,0.2624675268443948,3.982,0.04514569189438,NO BET,,Over,0.5619335174560547,1.6819999999999997,-0.005675737042660001,NO BET,
2026-01-03,61,Ligue 1,1387847,Monaco,Lyon,1-3,Away,0.34551551393220964,3.5379999999999994,0.2224338882921575,NO BET,,Under,0.4788494110107422,2.388,-0.12266192400185227,NO BET,
2026-01-03,61,Ligue 1,1387848,Nice,Strasbourg,1-1,Away,0.46657068692607107,2.4539999999999997,0.14496446571657828,B,-0.5,Under,0.4788494110107422,2.1079999999999997,-0.06925251306622082,NO BET,
2026-01-03,39,Premier League,1379159,Aston Villa,Nottingham Forest,3-1,Away,0.3418041582543895,4.2700000000000005,0.45950375574624314,NO BET,,Over,0.5103926062583923,1.8619999999999997,-0.006472987929464491,NO BET,
2026-01-03,39,Premier League,1379160,Bournemouth,Arsenal,2-3,Home,0.29677201801539976,5.478,0.6257171146883598,NO BET,,Under,0.4788494110107422,2.1740000000000004,-0.08145986733977328,NO BET,
2026-01-03,39,Premier League,1379161,Brighton,Burnley,2-0,Home,0.7082260252252328,1.534,0.0864187226955071,NO BET,,Over,0.5462427735328674,1.7740000000000002,0.0029883966018684482,B,-0.5
2026-01-03,39,Premier League,1379168,Wolves,West Ham,3-0,Home,0.4692836735495789,2.464,0.15631497162616248,B,0.732,Over,0.5462427735328674,1.9419999999999997,0.051708676708296875,NO BET,
2026-01-03,135,Serie A,1378034,Atalanta,AS Roma,1-0,Home,0.4641295257770646,2.2380000000000004,0.03872187868907084,NO BET,,Over,0.5103926062583923,2.06,0.048532627157033936,NO BET,
