feature,gain,weight,cover
away_tempo_away_std_5,1.6468391418457031,75.0,210.04345703125
away_goals_for_home_std_5,1.6448485851287842,44.0,149.25376892089844
sum_points_sum_3,1.6435766220092773,20.0,211.77206420898438
home_goals_against_ema_5,1.6416990756988525,95.0,236.01605224609375
home_sot_rate_home_mean_5,1.632584810256958,11.0,295.4538269042969
away_goals_for_ema_5,1.6324069499969482,64.0,230.73280334472656
away_expected_goals_away_ema_5,1.6285622119903564,42.0,310.4117431640625
rel_goals_for_mean_5_ratio,1.6238011121749878,69.0,274.9687194824219
away_expected_goals_away_sum_3,1.620847225189209,44.0,238.84405517578125
delta_expected_goals_mean_5,1.6188697814941406,14.0,163.85447692871094
away_goals_for_away_mean_5,1.616995930671692,23.0,227.04637145996094
away_points_away_std_5,1.616193175315857,14.0,125.25838470458984
away_goals_against_home_ema_5,1.6152843236923218,94.0,181.3657989501953
home_expected_goals_away_sum_3,1.6133952140808105,44.0,225.28382873535156
away_tempo_slope_5,1.612932801246643,108.0,290.8210754394531
away_tempo_home_mean_5,1.6116188764572144,54.0,291.2895812988281
away_tempo_mean_5,1.6081352233886719,30.0,158.7869110107422
away_expected_goals_std_5,1.6080951690673828,44.0,178.30052185058594
away_goals_against_ema_5,1.6080055236816406,79.0,227.52731323242188
away_points_sum_3,1.607202172279358,6.0,324.1910705566406
abs_delta_expected_goals_mean_5,1.6064575910568237,61.0,277.7574462890625
away_expected_goals_sum_3,1.6040221452713013,38.0,292.09820556640625
home_points_away_sum_3,1.6026889085769653,12.0,295.4692687988281
delta_points_ema_5,1.6019123792648315,79.0,254.4778289794922
rel_points_mean_5_ratio,1.600943684577942,52.0,227.23936462402344
home_goals_for_home_mean_5,1.5970923900604248,29.0,253.80287170410156
home_sot_rate_away_ema_5,1.5968122482299805,8.0,85.2213134765625
delta_tempo_mean_5,1.5950640439987183,21.0,167.1461944580078
home_inj_missing_fixture_cnt,1.5941630601882935,9.0,167.053466796875
away_sot_rate_std_5,1.5929242372512817,26.0,70.07652282714844
away_tempo_away_ema_5,1.5927983522415161,96.0,219.38157653808594
rel_goals_for_sum_3_ratio,1.5902713537216187,38.0,252.29684448242188
away_expected_goals_away_std_5,1.586848497390747,73.0,233.83828735351562
home_expected_goals_home_mean_5,1.5845682621002197,42.0,255.70628356933594
away_expected_goals_home_ema_5,1.584326982498169,45.0,368.17291259765625
home_expected_goals_slope_5,1.5834324359893799,58.0,312.7356262207031
home_points_ema_5,1.5825393199920654,58.0,185.10560607910156
away_expected_goals_mean_5,1.573068380355835,36.0,283.8351745605469
away_goals_for_away_sum_3,1.5724681615829468,21.0,190.47500610351562
home_tempo_std_5,1.571260929107666,96.0,197.3717803955078
home_goals_against_mean_5,1.5667704343795776,58.0,368.4871826171875
home_expected_goals_ema_5,1.5612837076187134,20.0,258.6011657714844
elo_diff,1.5596510171890259,74.0,267.70635986328125
home_points_sum_3,1.5585588216781616,8.0,107.47863006591797
away_points_ema_5,1.5553652048110962,84.0,213.48703002929688
away_tempo_away_mean_5,1.554430603981018,66.0,311.0125732421875
delta_points_mean_5,1.5533106327056885,29.0,318.1187438964844
delta_inj_total_cnt,1.5483272075653076,25.0,459.6806945800781
home_goals_against_slope_5,1.543429970741272,92.0,189.1500244140625
delta_expected_goals_slope_5,1.5415136814117432,40.0,256.1347961425781
elo_away_pre,1.5398374795913696,98.0,225.70545959472656
away_expected_goals_away_mean_5,1.5390172004699707,47.0,249.0121612548828
home_tempo_away_sum_3,1.538834810256958,59.0,258.36376953125
away_tempo_away_sum_3,1.5362672805786133,53.0,212.00375366210938
away_goals_for_home_ema_5,1.5271759033203125,67.0,257.72442626953125
sum_points_ema_5,1.5267049074172974,54.0,227.64784240722656
home_points_slope_5,1.5265741348266602,50.0,149.1295928955078
away_points_home_ema_5,1.5242279767990112,92.0,290.593994140625
home_goals_for_away_ema_5,1.5232592821121216,73.0,199.37155151367188
home_expected_goals_away_std_5,1.5223424434661865,74.0,187.97434997558594
sum_points_mean_5,1.5220609903335571,28.0,155.35275268554688
rel_xg_per_shot_mean_5_ratio,1.519365906715393,6.0,158.11630249023438
home_tempo_away_mean_5,1.5192270278930664,55.0,227.89259338378906
away_goals_for_slope_5,1.5168036222457886,63.0,174.7382354736328
away_tempo_home_std_5,1.5162116289138794,107.0,197.7926025390625
away_goals_against_home_mean_5,1.5158241987228394,44.0,303.2531433105469
h2h_games_cnt,1.5133155584335327,24.0,188.89991760253906
h2h_gdiff_avg_lastN,1.5117642879486084,55.0,240.8247833251953
home_goals_against_home_mean_5,1.5103448629379272,38.0,208.50733947753906
home_expected_goals_sum_3,1.508034586906433,38.0,251.0557098388672
home_goals_for_away_std_5,1.5078656673431396,40.0,310.82830810546875
away_points_slope_5,1.503015160560608,48.0,181.14813232421875
delta_goals_against_mean_5,1.497888207435608,53.0,234.8650665283203
away_tempo_home_ema_5,1.4976571798324585,85.0,192.3480987548828
home_tempo_slope_5,1.4953155517578125,63.0,159.95794677734375
home_tempo_mean_5,1.4945176839828491,64.0,365.5960998535156
away_tempo_std_5,1.4854316711425781,97.0,264.2108459472656
home_goals_against_away_std_5,1.48488187789917,30.0,278.1004638671875
home_goals_against_away_mean_5,1.4828940629959106,15.0,131.85842895507812
home_goals_against_home_std_5,1.482545018196106,37.0,239.558349609375
home_points_home_mean_5,1.4812915325164795,10.0,170.97592163085938
away_goals_against_home_std_5,1.4773372411727905,39.0,245.1944580078125
away_points_away_ema_5,1.4770067930221558,93.0,287.9354248046875
away_goals_for_away_ema_5,1.4766815900802612,92.0,252.2613983154297
away_goals_against_std_5,1.4756569862365723,62.0,216.0678253173828
away_goals_against_away_ema_5,1.4733631610870361,86.0,259.3437194824219
away_tempo_ema_5,1.4727095365524292,94.0,269.325927734375
away_expected_goals_home_std_5,1.4711298942565918,36.0,157.83224487304688
home_expected_goals_home_std_5,1.4673596620559692,82.0,277.0230407714844
away_tempo_sum_3,1.4646233320236206,46.0,258.86724853515625
home_expected_goals_away_ema_5,1.4638752937316895,58.0,303.31134033203125
home_expected_goals_away_mean_5,1.4624453783035278,42.0,241.51614379882812
home_tempo_away_std_5,1.4622894525527954,86.0,254.78407287597656
home_sot_rate_sum_3,1.4620047807693481,3.0,35.83237838745117
away_goals_against_sum_3,1.4602890014648438,9.0,207.34707641601562
away_points_home_mean_5,1.455521583557129,18.0,247.3054962158203
home_goals_for_home_ema_5,1.4552319049835205,94.0,260.54425048828125
h2h_drawrate_centered,1.454269289970398,55.0,182.4448699951172
home_goals_for_ema_5,1.4536913633346558,79.0,278.5149230957031
away_goals_for_mean_5,1.4534536600112915,21.0,273.12615966796875
league_draw_prior,1.4525078535079956,106.0,233.72259521484375
delta_goals_for_mean_5,1.451380729675293,34.0,247.16250610351562
delta_tempo_slope_5,1.4512687921524048,91.0,178.60679626464844
away_points_std_5,1.4502594470977783,32.0,179.7207794189453
sum_expected_goals_mean_5,1.4499874114990234,8.0,330.31805419921875
home_points_away_std_5,1.449344515800476,23.0,150.7996826171875
home_points_home_ema_5,1.435112714767456,100.0,240.9039306640625
away_goals_against_home_sum_3,1.4336684942245483,19.0,298.754638671875
home_goals_for_mean_5,1.4331122636795044,21.0,132.15426635742188
away_goals_against_slope_5,1.432526707649231,62.0,134.35621643066406
home_tempo_home_sum_3,1.4259965419769287,67.0,343.3227233886719
away_inj_questionable_cnt,1.4254671335220337,4.0,110.04179382324219
home_goals_against_sum_3,1.4232380390167236,25.0,199.5683135986328
delta_matches_14d,1.4216076135635376,6.0,263.3821105957031
away_tempo_home_sum_3,1.419967770576477,57.0,254.94825744628906
home_sot_rate_home_ema_5,1.415592074394226,13.0,64.98748016357422
home_tempo_home_mean_5,1.4140740633010864,47.0,248.1121368408203
delta_inj_missing_fixture_cnt,1.4138370752334595,12.0,431.3866271972656
