date,league,fixture_id,home_team,away_team,score,best_bet_type,best_bet_outcome,bet_rating,best_bet_odds,best_bet_ev,result_note,result,profit,bet_decision_notes,close_bucket,decision_profile
2025-09-27 13:30,Bundesliga,1388350,FC St. Pauli,Bayer Leverkusen,1-2,1X2,Away,Strong,2.1079999999999997,0.11754843455153541,Away,Win,1.1079999999999997,,Not close,Baseline
2025-09-27 14:00,Premier League,1379024,Leeds,Bournemouth,2-2,1X2,Away,Medium,2.478,0.15250288186335315,Draw,Loss,-1.0,,Not close,Baseline
2025-09-27 14:15,La Liga,1390879,Atletico Madrid,Real Madrid,5-2,OVER25,Over2.5,Strong,2.026666666666667,0.12368587154812305,7.0 goals,Win,1.0266666666666668,,Not close,Baseline
2025-09-27 16:30,Bundesliga,1388345,Borussia Mönchengladbach,Eintracht Frankfurt,4-6,UNDER25,Under2.5,Strong,2.7380000000000004,0.19784216465950033,10.0 goals,Loss,-1.0,,Not close,Baseline
2025-09-27 16:30,La Liga,1390885,Mallorca,Alaves,1-0,1X2,Home,Strong,2.5833333333333335,0.14544492019472077,Home,Win,1.5833333333333335,,Not close,Baseline
2025-09-27 18:45,Serie A,1377904,Cagliari,Inter,0-2,UNDER25,Under2.5,Strong,2.036,0.15708997953051607,2.0 goals,Win,1.036,,Not close,Baseline
2025-09-27 19:00,La Liga,1390888,Villarreal,Athletic Club,1-0,OVER25,Over2.5,Strong,2.0100000000000002,0.11758340644836429,1.0 goals,Loss,-1.0,,Not close,Baseline
2025-09-28 13:00,Ligue 1,1387747,Nice,Paris FC,1-1,OVER25,Over2.5,Strong,1.8,0.19626607894897474,2.0 goals,Loss,-1.0,,Not close,Baseline
2025-09-28 13:00,Serie A,1377911,Pisa,Fiorentina,0-0,OVER25,Over2.5,Strong,2.2733333333333334,0.2191006079249913,0.0 goals,Loss,-1.0,,Not close,Baseline
2025-09-28 13:30,Bundesliga,1388347,SC Freiburg,1899 Hoffenheim,1-1,UNDER25,Under2.5,Medium,2.356666666666667,0.08961176999409992,2.0 goals,Win,1.356666666666667,,Not close,Baseline
2025-09-28 15:15,Ligue 1,1387744,Lille,Lyon,0-1,OVER25,Over2.5,Strong,1.82,0.2055154652595521,1.0 goals,Loss,-1.0,,Not close,Baseline
2025-09-28 15:15,Ligue 1,1387743,Angers,Stade Brestois 29,0-2,1X2,Away,Strong,2.2939999999999996,0.22674074199743566,Away,Win,1.2939999999999996,,Not close,Baseline
2025-09-28 15:30,Bundesliga,1388346,1.FC Köln,VfB Stuttgart,1-2,UNDER25,Under2.5,Strong,2.4033333333333333,0.30120673033926226,3.0 goals,Loss,-1.0,,Not close,Baseline
2025-09-28 15:30,Premier League,1379026,Newcastle,Arsenal,1-2,1X2,Away,Medium,2.222,0.07702424695647392,Away,Win,1.222,,Not close,Baseline
2025-09-28 16:00,Serie A,1377908,Lecce,Bologna,2-2,1X2,Away,Strong,2.096,0.08927749929411744,Draw,Loss,-1.0,,Not close,Baseline
2025-09-29 18:45,Serie A,1377906,Genoa,Lazio,0-3,1X2,Away,Strong,2.406,0.16178305341998223,Away,Win,1.4060000000000001,,Not close,Baseline
2025-10-03 18:45,Serie A,1377923,Verona,Sassuolo,0-1,1X2,Home,Medium,2.558,0.1010412734446553,Away,Loss,-1.0,,Not close,Baseline
2025-10-03 19:00,La Liga,1390894,Osasuna,Getafe,2-1,OVER25,Over2.5,Strong,2.98,0.288948797564174,3.0 goals,Win,1.98,,Not close,Baseline
2025-10-04 11:30,Premier League,1379035,Leeds,Tottenham,1-2,1X2,Away,Medium,2.348,0.0869193507300896,Away,Win,1.3479999999999999,,Not close,Baseline
2025-10-04 12:00,La Liga,1390897,Oviedo,Levante,0-2,UNDER25,Under2.5,Weak,1.7149999999999999,0.03786247893174499,2.0 goals,Win,0.7149999999999999,,Not close,Baseline
2025-10-04 13:30,Bundesliga,1388353,FC Augsburg,VfL Wolfsburg,3-1,UNDER25,Under2.5,Strong,2.1075,0.18707794891936436,4.0 goals,Loss,-1.0,,Not close,Baseline
2025-10-04 16:30,Premier League,1379033,Chelsea,Liverpool,2-1,1X2,Away,Medium,2.4,0.14409337821240276,Home,Loss,-1.0,,Not close,Baseline
2025-10-05 13:00,Premier League,1379038,Wolves,Brighton,1-1,OVER25,Over2.5,Medium,1.8800000000000001,0.044049163491637566,2.0 goals,Loss,-1.0,,Not close,Baseline
2025-10-05 13:00,Serie A,1377916,Fiorentina,AS Roma,1-2,1X2,Away,Medium,2.242,0.059865050152367205,Away,Win,1.242,,Not close,Baseline
2025-10-05 15:15,Ligue 1,1387754,Le Havre,Rennes,2-2,OVER25,Over2.5,Strong,1.9120000000000001,0.0862462961832684,4.0 goals,Win,0.9120000000000001,,Not close,Baseline
2025-10-05 15:30,Bundesliga,1388358,Hamburger SV,FSV Mainz 05,4-0,UNDER25,Under2.5,Strong,2.196,0.21755876654216233,4.0 goals,Loss,-1.0,,Not close,Baseline
2025-10-05 19:00,La Liga,1390891,Celta Vigo,Atletico Madrid,1-1,UNDER25,Under2.5,Strong,1.9300000000000002,0.1200343484424411,2.0 goals,Win,0.9300000000000002,,Not close,Baseline
